setup,bild,keypoint,distance
pc-i,3,L_Knöchel,0.4319561932252272
pc-i,3,R_Knöchel,0.307962875969324
pc-l,3,Nase,1.1047643448360924
pc-l,3,L_Auge,0.8682844005042946
pc-l,3,R_Auge,2.1000135769500177
pc-l,3,L_Ohr,0.8248138144040299
pc-l,3,R_Ohr,1.8361351601746223
pc-l,3,L_Schulter,0.9710606768371476
pc-l,3,R_Schulter,1.746630580812552
pc-l,3,L_Ellbogen,0.7045298141981864
pc-l,3,R_Ellbogen,1.6119088351180701
pc-l,3,L_Handgelenk,0.6152440699396938
pc-l,3,R_Handgelenk,0.09103935243486252
pc-l,3,L_Hüfte,1.4089356619277211
pc-l,3,R_Hüfte,0.22755177530112874
pc-l,3,L_Knie,0.6563296613456622
pc-l,3,R_Knie,2.860402641449574
pc-l,3,L_Knöchel,0.8498070038180917
pc-l,3,R_Knöchel,1.6281336791504148
pc-lm,3,Nase,0.5374654258298538
pc-lm,3,L_Auge,0.4078901228844427
pc-lm,3,R_Auge,1.0314943526028026
pc-lm,3,L_Ohr,0.5534079881814522
pc-lm,3,R_Ohr,0.8977263465999072
pc-lm,3,L_Schulter,0.20052820172538793
pc-lm,3,R_Schulter,1.2008143159438407
pc-lm,3,L_Ellbogen,0.5732598700964908
pc-lm,3,R_Ellbogen,1.0764625121859517
pc-lm,3,L_Handgelenk,0.3457751959288962
pc-lm,3,R_Handgelenk,0.49726141907620575
pc-lm,3,L_Hüfte,0.7881437948350783
pc-lm,3,R_Hüfte,1.0226365916396094
pc-lm,3,L_Knie,0.2849241107270783
pc-lm,3,R_Knie,0.8596943187381332
pc-lm,3,L_Knöchel,0.4391622995036421
pc-lm,3,R_Knöchel,1.2882853276468567
