code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-lm,Bild1,16,1,0.5688,0.5688,0.5688,0,1.76,0.5262,0.0378,0.0039
lt-lm,Bild1,17,1,0.5711,0.5711,0.5711,0,1.75,0.5239,0.0427,0.0037
lt-lm,Bild1,18,1,0.5531,0.5531,0.5531,0,1.81,0.5216,0.0282,0.0026
lt-lm,Bild1,19,1,0.6269,0.6269,0.6269,0,1.6,0.592,0.0307,0.0035
lt-lm,Bild1,20,1,0.5271,0.5271,0.5271,0,1.9,0.4921,0.0311,0.0032
lt-lm,Bild1,21,1,0.5876,0.5876,0.5876,0,1.7,0.5522,0.0326,0.0022
lt-lm,Bild1,22,1,0.6371,0.6371,0.6371,0,1.57,0.5988,0.034,0.0035
lt-lm,Bild1,23,1,0.5501,0.5501,0.5501,0,1.82,0.5115,0.0345,0.0034
lt-lm,Bild1,24,1,0.6984,0.6984,0.6984,0,1.43,0.6614,0.0339,0.0025
lt-lm,Bild1,25,1,0.7817,0.7817,0.7817,0,1.28,0.7358,0.0408,0.0041
lt-lm,Bild1,26,1,0.6462,0.6462,0.6462,0,1.55,0.5966,0.0447,0.004
lt-lm,Bild1,27,1,0.7572,0.7572,0.7572,0,1.32,0.7206,0.0332,0.0026
lt-lm,Bild1,28,1,0.6474,0.6474,0.6474,0,1.54,0.602,0.0417,0.0031
lt-lm,Bild1,29,1,0.6637,0.6637,0.6637,0,1.51,0.6153,0.0452,0.0024
lt-lm,Bild1,30,1,0.6366,0.6366,0.6366,0,1.57,0.5871,0.0446,0.004
lt-lm,Bild2,1,1,0.5331,0.5331,0.5331,0,1.88,0.4881,0.0406,0.0026
lt-lm,Bild2,2,1,0.5252,0.5252,0.5252,0,1.9,0.486,0.034,0.0039
lt-lm,Bild2,3,1,0.5347,0.5347,0.5347,0,1.87,0.5027,0.0261,0.0045
lt-lm,Bild2,4,1,0.4707,0.4707,0.4707,0,2.12,0.4429,0.0246,0.0026
lt-lm,Bild2,5,1,0.4807,0.4807,0.4807,0,2.08,0.4474,0.0284,0.0042
lt-lm,Bild2,6,1,0.4816,0.4816,0.4816,0,2.08,0.4486,0.0278,0.0043
lt-lm,Bild2,7,1,0.4833,0.4833,0.4833,0,2.07,0.4483,0.0319,0.0024
lt-lm,Bild2,8,1,0.5328,0.5328,0.5328,0,1.88,0.496,0.0315,0.0044
lt-lm,Bild2,9,1,0.4859,0.4859,0.4859,0,2.06,0.4512,0.0299,0.0039
lt-lm,Bild2,10,1,0.4882,0.4882,0.4882,0,2.05,0.4524,0.0311,0.0039
lt-lm,Bild2,11,1,0.4819,0.4819,0.4819,0,2.08,0.4542,0.0246,0.0025
lt-lm,Bild2,12,1,0.6049,0.6049,0.6049,0,1.65,0.5706,0.0289,0.0042
lt-lm,Bild2,13,1,0.4868,0.4868,0.4868,0,2.05,0.4606,0.0231,0.0024
lt-lm,Bild2,14,1,0.5008,0.5008,0.5008,0,2.0,0.4728,0.0251,0.0023
lt-lm,Bild2,15,1,0.4793,0.4793,0.4793,0,2.09,0.446,0.0295,0.003
lt-lm,Bild2,16,1,0.5972,0.5972,0.5972,0,1.67,0.5615,0.031,0.0038
lt-lm,Bild2,17,1,0.5228,0.5228,0.5228,0,1.91,0.4915,0.0284,0.0024
lt-lm,Bild2,18,1,0.5674,0.5674,0.5674,0,1.76,0.5264,0.0353,0.0046
lt-lm,Bild2,19,1,0.6433,0.6433,0.6433,0,1.55,0.612,0.0265,0.004
lt-lm,Bild2,20,1,0.6414,0.6414,0.6414,0,1.56,0.6036,0.0348,0.0025
lt-lm,Bild2,21,1,0.5836,0.5836,0.5836,0,1.71,0.5417,0.0364,0.0045
lt-lm,Bild2,22,1,0.523,0.523,0.523,0,1.91,0.4919,0.0281,0.0024
lt-lm,Bild2,23,1,0.5283,0.5283,0.5283,0,1.89,0.4921,0.033,0.0026
lt-lm,Bild2,24,1,0.6398,0.6398,0.6398,0,1.56,0.5928,0.0406,0.0054
lt-lm,Bild2,25,1,0.6335,0.6335,0.6335,0,1.58,0.5866,0.0424,0.0037
lt-lm,Bild2,26,1,0.6462,0.6462,0.6462,0,1.55,0.5943,0.0457,0.0051
lt-lm,Bild2,27,1,0.6381,0.6381,0.6381,0,1.57,0.5955,0.0387,0.0032
lt-lm,Bild2,28,1,0.7475,0.7475,0.7475,0,1.34,0.6967,0.0473,0.0028
lt-lm,Bild2,29,1,0.8492,0.8492,0.8492,0,1.18,0.7952,0.0474,0.0054
lt-lm,Bild2,30,1,0.6463,0.6463,0.6463,0,1.55,0.5936,0.0465,0.0051
lt-lm,Bild3,1,1,0.4896,0.4896,0.4896,0,2.04,0.4489,0.0353,0.0044
lt-lm,Bild3,2,1,0.5178,0.5178,0.5178,0,1.93,0.4832,0.031,0.0028
lt-lm,Bild3,3,1,0.4869,0.4869,0.4869,0,2.05,0.4551,0.0266,0.0032
lt-lm,Bild3,4,1,0.5027,0.5027,0.5027,0,1.99,0.4698,0.0277,0.0043
lt-lm,Bild3,5,1,0.5002,0.5002,0.5002,0,2.0,0.4655,0.029,0.0047
lt-lm,Bild3,6,1,0.4935,0.4935,0.4935,0,2.03,0.4619,0.0259,0.0048
lt-lm,Bild3,7,1,0.5456,0.5456,0.5456,0,1.83,0.5103,0.0297,0.0045
lt-lm,Bild3,8,1,0.466,0.466,0.466,0,2.15,0.4342,0.0286,0.0026
lt-lm,Bild3,9,1,0.536,0.536,0.536,0,1.87,0.4964,0.0339,0.0046
lt-lm,Bild3,10,1,0.5403,0.5403,0.5403,0,1.85,0.5036,0.0314,0.0044
lt-lm,Bild3,11,1,0.4739,0.4739,0.4739,0,2.11,0.4502,0.0204,0.0026
lt-lm,Bild3,12,1,0.4913,0.4913,0.4913,0,2.04,0.4588,0.0266,0.005
lt-lm,Bild3,13,1,0.5246,0.5246,0.5246,0,1.91,0.4975,0.0237,0.0028
lt-lm,Bild3,14,1,0.5774,0.5774,0.5774,0,1.73,0.546,0.0273,0.0034
lt-lm,Bild3,15,1,0.5021,0.5021,0.5021,0,1.99,0.4728,0.0259,0.0028
lt-lm,Bild3,16,1,0.6199,0.6199,0.6199,0,1.61,0.5832,0.0312,0.0045
lt-lm,Bild3,17,1,0.4805,0.4805,0.4805,0,2.08,0.451,0.0262,0.0027
lt-lm,Bild3,18,1,0.597,0.597,0.597,0,1.68,0.5597,0.0315,0.0051
lt-lm,Bild3,19,1,0.5122,0.5122,0.5122,0,1.95,0.4824,0.0266,0.0026
lt-lm,Bild3,20,1,0.5306,0.5306,0.5306,0,1.88,0.486,0.0409,0.0029
lt-lm,Bild3,21,1,0.7528,0.7528,0.7528,0,1.33,0.7099,0.0388,0.0032
lt-lm,Bild3,22,1,0.6461,0.6461,0.6461,0,1.55,0.5964,0.0427,0.0057
lt-lm,Bild3,23,1,0.7583,0.7583,0.7583,0,1.32,0.7122,0.0421,0.0032
lt-lm,Bild3,24,1,0.7142,0.7142,0.7142,0,1.4,0.6601,0.0469,0.0059
lt-lm,Bild3,25,1,0.6469,0.6469,0.6469,0,1.55,0.5937,0.046,0.0059
lt-lm,Bild3,26,1,0.7716,0.7716,0.7716,0,1.3,0.7159,0.0486,0.0059
lt-lm,Bild3,27,1,0.8395,0.8395,0.8395,0,1.19,0.7903,0.0418,0.0056
lt-lm,Bild3,28,1,0.746,0.746,0.746,0,1.34,0.6969,0.0419,0.0059
lt-lm,Bild3,29,1,0.8541,0.8541,0.8541,0,1.17,0.8068,0.0401,0.0058
lt-lm,Bild3,30,1,0.777,0.777,0.777,0,1.29,0.7235,0.0494,0.0033
