code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
pc-lm,Video3,16,97,0.0336,0.0292,0.0482,0.0029,29.78,0.0179,0.0142,0.001
pc-lm,Video3,17,97,0.0339,0.0293,0.0439,0.0028,29.5,0.0182,0.0143,0.001
pc-lm,Video3,18,97,0.0342,0.0291,0.0543,0.0043,29.26,0.0182,0.0146,0.001
pc-lm,Video3,19,97,0.0355,0.0294,0.0517,0.0042,28.14,0.019,0.0151,0.001
pc-lm,Video3,20,97,0.0358,0.0307,0.0502,0.0039,27.96,0.0194,0.0149,0.001
pc-lm,Video3,21,97,0.0348,0.0297,0.0481,0.0033,28.77,0.019,0.0144,0.001
pc-lm,Video3,22,97,0.0344,0.0294,0.044,0.0033,29.07,0.0186,0.0144,0.001
pc-lm,Video3,23,97,0.0354,0.0302,0.0459,0.0037,28.25,0.0187,0.0152,0.001
pc-lm,Video3,24,97,0.0373,0.0303,0.0602,0.0048,26.83,0.0199,0.016,0.001
pc-lm,Video3,25,97,0.0356,0.0295,0.049,0.0039,28.07,0.019,0.0152,0.001
pc-lm,Video3,26,97,0.0357,0.0295,0.0473,0.0038,28.03,0.0191,0.0152,0.001
pc-lm,Video3,27,97,0.0346,0.0291,0.0512,0.0038,28.89,0.0188,0.0145,0.001
pc-lm,Video3,28,97,0.0354,0.0292,0.0491,0.004,28.24,0.0185,0.0154,0.001
pc-lm,Video3,29,97,0.035,0.0294,0.0457,0.0034,28.61,0.0183,0.0152,0.001
pc-lm,Video3,30,97,0.0341,0.0286,0.0513,0.0035,29.31,0.018,0.0147,0.001
pc-lm,Bild1,1,1,0.4685,0.4685,0.4685,0,2.13,0.317,0.1468,0.0039
pc-lm,Bild1,2,1,0.0416,0.0416,0.0416,0,24.05,0.022,0.0146,0.0039
pc-lm,Bild1,3,1,0.0418,0.0418,0.0418,0,23.9,0.0201,0.0172,0.0039
pc-lm,Bild1,4,1,0.0404,0.0404,0.0404,0,24.73,0.0204,0.017,0.0023
pc-lm,Bild1,5,1,0.0334,0.0334,0.0334,0,29.9,0.0195,0.0116,0.0017
pc-lm,Bild1,6,1,0.0459,0.0459,0.0459,0,21.78,0.0237,0.0156,0.0058
pc-lm,Bild1,7,1,0.0427,0.0427,0.0427,0,23.4,0.0217,0.0183,0.002
pc-lm,Bild1,8,1,0.0406,0.0406,0.0406,0,24.65,0.0195,0.0183,0.0021
pc-lm,Bild1,9,1,0.0489,0.0489,0.0489,0,20.47,0.0242,0.0219,0.0019
pc-lm,Bild1,10,1,0.0472,0.0472,0.0472,0,21.18,0.0273,0.0172,0.0019
pc-lm,Bild1,11,1,0.0379,0.0379,0.0379,0,26.37,0.0216,0.014,0.0017
pc-lm,Bild1,12,1,0.0383,0.0383,0.0383,0,26.08,0.0207,0.0147,0.0022
pc-lm,Bild1,13,1,0.0356,0.0356,0.0356,0,28.1,0.02,0.0129,0.0019
pc-lm,Bild1,14,1,0.039,0.039,0.039,0,25.62,0.02,0.0163,0.002
pc-lm,Bild1,15,1,0.0356,0.0356,0.0356,0,28.07,0.022,0.0111,0.0018
pc-lm,Bild1,16,1,0.0394,0.0394,0.0394,0,25.41,0.0198,0.0169,0.002
pc-lm,Bild1,17,1,0.0344,0.0344,0.0344,0,29.05,0.019,0.0128,0.0018
pc-lm,Bild1,18,1,0.0354,0.0354,0.0354,0,28.29,0.0192,0.0136,0.0019
pc-lm,Bild1,19,1,0.0351,0.0351,0.0351,0,28.51,0.0206,0.0118,0.0019
pc-lm,Bild1,20,1,0.0358,0.0358,0.0358,0,27.92,0.0191,0.0139,0.0018
pc-lm,Bild1,21,1,0.0373,0.0373,0.0373,0,26.77,0.0201,0.0148,0.0018
pc-lm,Bild1,22,1,0.0374,0.0374,0.0374,0,26.74,0.0204,0.0148,0.0016
pc-lm,Bild1,23,1,0.0371,0.0371,0.0371,0,26.92,0.0206,0.0142,0.0017
pc-lm,Bild1,24,1,0.0333,0.0333,0.0333,0,30.0,0.0177,0.0132,0.0018
pc-lm,Bild1,25,1,0.0428,0.0428,0.0428,0,23.38,0.0229,0.0171,0.002
pc-lm,Bild1,26,1,0.0416,0.0416,0.0416,0,24.02,0.0239,0.0153,0.0017
pc-lm,Bild1,27,1,0.0407,0.0407,0.0407,0,24.58,0.021,0.0172,0.0018
pc-lm,Bild1,28,1,0.0379,0.0379,0.0379,0,26.41,0.0199,0.0153,0.0019
pc-lm,Bild1,29,1,0.0338,0.0338,0.0338,0,29.57,0.0188,0.0127,0.0017
pc-lm,Bild1,30,1,0.0376,0.0376,0.0376,0,26.61,0.02,0.0152,0.0018
pc-lm,Bild2,1,1,0.4813,0.4813,0.4813,0,2.08,0.3201,0.1518,0.0084
pc-lm,Bild2,2,1,0.0525,0.0525,0.0525,0,19.04,0.0266,0.0172,0.0066
pc-lm,Bild2,3,1,0.0491,0.0491,0.0491,0,20.37,0.0255,0.0181,0.004
pc-lm,Bild2,4,1,0.0504,0.0504,0.0504,0,19.83,0.0242,0.0202,0.0049
pc-lm,Bild2,5,1,0.0597,0.0597,0.0597,0,16.75,0.0313,0.0156,0.0092
pc-lm,Bild2,6,1,0.0472,0.0472,0.0472,0,21.2,0.0246,0.0168,0.0045
pc-lm,Bild2,7,1,0.0475,0.0475,0.0475,0,21.07,0.0264,0.0166,0.0034
pc-lm,Bild2,8,1,0.0478,0.0478,0.0478,0,20.93,0.0189,0.0213,0.0047
pc-lm,Bild2,9,1,0.0388,0.0388,0.0388,0,25.78,0.0202,0.0119,0.0049
pc-lm,Bild2,10,1,0.0419,0.0419,0.0419,0,23.89,0.0229,0.0142,0.0038
pc-lm,Bild2,11,1,0.0446,0.0446,0.0446,0,22.4,0.0181,0.0217,0.0038
pc-lm,Bild2,12,1,0.0409,0.0409,0.0409,0,24.47,0.019,0.0143,0.0054
pc-lm,Bild2,13,1,0.0401,0.0401,0.0401,0,24.93,0.0222,0.0134,0.0033
pc-lm,Bild2,14,1,0.0359,0.0359,0.0359,0,27.88,0.0168,0.0129,0.0041
pc-lm,Bild2,15,1,0.0447,0.0447,0.0447,0,22.35,0.0213,0.0155,0.0057
pc-lm,Bild2,16,1,0.0431,0.0431,0.0431,0,23.21,0.0228,0.0162,0.0031
pc-lm,Bild2,17,1,0.0431,0.0431,0.0431,0,23.18,0.0208,0.0156,0.0049
pc-lm,Bild2,18,1,0.0418,0.0418,0.0418,0,23.95,0.0232,0.0149,0.0027
pc-lm,Bild2,19,1,0.0419,0.0419,0.0419,0,23.88,0.0233,0.0151,0.0026
pc-lm,Bild2,20,1,0.0383,0.0383,0.0383,0,26.11,0.0198,0.0145,0.003
pc-lm,Bild2,21,1,0.0401,0.0401,0.0401,0,24.95,0.0198,0.0155,0.0035
pc-lm,Bild2,22,1,0.0386,0.0386,0.0386,0,25.94,0.0184,0.0159,0.0032
pc-lm,Bild2,23,1,0.043,0.043,0.043,0,23.25,0.0226,0.0158,0.0038
pc-lm,Bild2,24,1,0.0477,0.0477,0.0477,0,20.98,0.0215,0.0206,0.0046
pc-lm,Bild2,25,1,0.0478,0.0478,0.0478,0,20.93,0.0223,0.0182,0.0052
pc-lm,Bild2,26,1,0.0451,0.0451,0.0451,0,22.17,0.0217,0.0157,0.0056
pc-lm,Bild2,27,1,0.0537,0.0537,0.0537,0,18.6,0.0231,0.0198,0.0083
pc-lm,Bild2,28,1,0.0446,0.0446,0.0446,0,22.42,0.0214,0.0161,0.0052
pc-lm,Bild2,29,1,0.0387,0.0387,0.0387,0,25.82,0.0213,0.0137,0.0027
pc-lm,Bild2,30,1,0.0438,0.0438,0.0438,0,22.84,0.0229,0.0155,0.0044
pc-lm,Bild3,1,1,0.4858,0.4858,0.4858,0,2.06,0.3303,0.1447,0.0097
pc-lm,Bild3,2,1,0.0443,0.0443,0.0443,0,22.56,0.0248,0.0116,0.0051
pc-lm,Bild3,3,1,0.0435,0.0435,0.0435,0,23.01,0.0248,0.0135,0.004
pc-lm,Bild3,4,1,0.0447,0.0447,0.0447,0,22.37,0.0211,0.0182,0.0043
pc-lm,Bild3,5,1,0.0477,0.0477,0.0477,0,20.94,0.0235,0.015,0.0071
pc-lm,Bild3,6,1,0.0424,0.0424,0.0424,0,23.57,0.0196,0.0141,0.0067
pc-lm,Bild3,7,1,0.0506,0.0506,0.0506,0,19.77,0.0278,0.015,0.0059
pc-lm,Bild3,8,1,0.0441,0.0441,0.0441,0,22.68,0.0174,0.0186,0.006
pc-lm,Bild3,9,1,0.0458,0.0458,0.0458,0,21.82,0.0234,0.0142,0.0062
pc-lm,Bild3,10,1,0.0521,0.0521,0.0521,0,19.18,0.0289,0.0147,0.0066
pc-lm,Bild3,11,1,0.0484,0.0484,0.0484,0,20.66,0.0223,0.018,0.0059
pc-lm,Bild3,12,1,0.043,0.043,0.043,0,23.26,0.0199,0.0146,0.0065
pc-lm,Bild3,13,1,0.0487,0.0487,0.0487,0,20.51,0.0264,0.0147,0.0056
pc-lm,Bild3,14,1,0.0542,0.0542,0.0542,0,18.44,0.0317,0.0149,0.0056
pc-lm,Bild3,15,1,0.0512,0.0512,0.0512,0,19.51,0.0213,0.0187,0.0089
pc-lm,Bild3,16,1,0.0408,0.0408,0.0408,0,24.49,0.019,0.0131,0.0065
pc-lm,Bild3,17,1,0.0487,0.0487,0.0487,0,20.55,0.0243,0.0161,0.0061
pc-lm,Bild3,18,1,0.0437,0.0437,0.0437,0,22.89,0.0207,0.015,0.006
pc-lm,Bild3,19,1,0.0476,0.0476,0.0476,0,21.02,0.0201,0.0192,0.0058
pc-lm,Bild3,20,1,0.0507,0.0507,0.0507,0,19.74,0.0242,0.0177,0.0068
pc-lm,Bild3,21,1,0.0458,0.0458,0.0458,0,21.82,0.0227,0.0143,0.0068
pc-lm,Bild3,22,1,0.0502,0.0502,0.0502,0,19.94,0.0228,0.0171,0.0077
pc-lm,Bild3,23,1,0.0463,0.0463,0.0463,0,21.6,0.021,0.0163,0.0067
pc-lm,Bild3,24,1,0.0524,0.0524,0.0524,0,19.09,0.0273,0.0167,0.0064
pc-lm,Bild3,25,1,0.0457,0.0457,0.0457,0,21.87,0.0234,0.0137,0.0065
pc-lm,Bild3,26,1,0.0486,0.0486,0.0486,0,20.6,0.023,0.016,0.0073
pc-lm,Bild3,27,1,0.0505,0.0505,0.0505,0,19.79,0.0259,0.0164,0.0061
pc-lm,Bild3,28,1,0.042,0.042,0.042,0,23.79,0.0191,0.0141,0.0066
pc-lm,Bild3,29,1,0.0485,0.0485,0.0485,0,20.62,0.0252,0.0158,0.0055
pc-lm,Bild3,30,1,0.0471,0.0471,0.0471,0,21.22,0.0236,0.014,0.0074
