code,input,run,frame_count,avg_latency,min_latency,max_latency,std_latency,avg_fps,avg_det,avg_pose,avg_vis
lt-l,Bild3,12,1,0.1116,0.1116,0.1116,0,8.96,0.065,0.0389,0.0068
lt-l,Bild3,13,1,0.1037,0.1037,0.1037,0,9.64,0.0573,0.0365,0.0086
lt-l,Bild3,14,1,0.1062,0.1062,0.1062,0,9.41,0.0532,0.0447,0.0071
lt-l,Bild3,15,1,0.0798,0.0798,0.0798,0,12.53,0.0456,0.0271,0.0064
lt-l,Bild3,16,1,0.137,0.137,0.137,0,7.3,0.097,0.0293,0.0097
lt-l,Bild3,17,1,0.1394,0.1394,0.1394,0,7.18,0.0347,0.0848,0.0185
lt-l,Bild3,18,1,0.1683,0.1683,0.1683,0,5.94,0.1234,0.0345,0.0093
lt-l,Bild3,19,1,0.1395,0.1395,0.1395,0,7.17,0.0985,0.0295,0.0103
lt-l,Bild3,20,1,0.162,0.162,0.162,0,6.17,0.1063,0.0443,0.0101
lt-l,Bild3,21,1,0.1318,0.1318,0.1318,0,7.59,0.0851,0.0371,0.0085
lt-l,Bild3,22,1,0.1291,0.1291,0.1291,0,7.75,0.078,0.0404,0.0096
lt-l,Bild3,23,1,0.0856,0.0856,0.0856,0,11.68,0.0465,0.0322,0.0061
lt-l,Bild3,24,1,0.1608,0.1608,0.1608,0,6.22,0.1138,0.0371,0.0089
lt-l,Bild3,25,1,0.1306,0.1306,0.1306,0,7.66,0.0814,0.04,0.0084
lt-l,Bild3,26,1,0.1463,0.1463,0.1463,0,6.83,0.1037,0.0318,0.0097
lt-l,Bild3,27,1,0.088,0.088,0.088,0,11.36,0.0415,0.0325,0.0133
lt-l,Bild3,28,1,0.0748,0.0748,0.0748,0,13.38,0.0348,0.0313,0.008
lt-l,Bild3,29,1,0.2069,0.2069,0.2069,0,4.83,0.1594,0.0354,0.0107
lt-l,Bild3,30,1,0.1695,0.1695,0.1695,0,5.9,0.104,0.0541,0.0102
